tic,fyear,sale,cogs,ni,at,invt,teq,gross_margin,net_margin,roa,roe,inventory_turnover
TGT,2020,93561.0,65696.0,4368.0,51248.0,10653.0,14440.0,0.2978270860721882,0.04668611921634014,0.08523259444270996,0.30249307479224374,6.16690134234488
TGT,2021,106005.0,74665.0,6946.0,53811.0,13902.0,12827.0,0.2956464317720862,0.0655252110749493,0.12908141458066194,0.541513993919077,5.3708099554021
TGT,2022,109120.0,81914.0,2780.0,53335.0,13499.0,11232.0,0.24932184750733138,0.025476539589442817,0.05212337114465173,0.2475071225071225,6.068153196533077
TGT,2023,107412.0,77350.0,4138.0,55356.0,11886.0,13432.0,0.2798756191114587,0.03852455963951886,0.07475251101958234,0.30807027992852887,6.507656065959953
TGT,2024,106566.0,76050.0,4091.0,57769.0,12740.0,14666.0,0.2863577501266821,0.03838935495373759,0.07081652789558414,0.27894449747715805,5.969387755102041
TGT,2025,104780.0,74994.0,3705.0,59490.0,12304.0,16165.0,0.28427180759686965,0.03535980148883375,0.062279374684820976,0.2291988864831426,6.095091027308192
WMT,2020,556933.0,409163.0,13510.0,252496.0,44949.0,87531.0,0.2653281453963044,0.024257855074129205,0.053505798111653256,0.15434531765888657,9.10282764911344
WMT,2021,569962.0,418342.0,13673.0,244860.0,56511.0,91891.0,0.2660177345156344,0.02398931858615136,0.05584007187780773,0.14879585595977843,7.402841924581055
WMT,2022,608481.0,452776.0,11680.0,243197.0,56576.0,83754.0,0.2558913096711319,0.01919534052829916,0.04802690822666398,0.13945602598084866,8.002969457013574
WMT,2023,645737.0,478289.0,15511.0,252399.0,54892.0,90349.0,0.25931300204262725,0.02402061520402269,0.0614542846841707,0.1716787125480083,8.71327333673395
WMT,2024,678338.0,498780.0,19436.0,260823.0,56435.0,97421.0,0.2647028472531393,0.02865238273545047,0.07451796812397679,0.1995052401432956,8.838132364667317
WMT,2025,710813.0,521112.0,21893.0,284668.0,58851.0,105887.0,0.2668789118938455,0.030799943163673148,0.07690713392443127,0.20675814783684493,8.854768822959677
