tic,fyear,sale,cogs,ni,at,invt,teq
TGT,2020,93561.0,65696.0,4368.0,51248.0,10653.0,14440.0
TGT,2021,106005.0,74665.0,6946.0,53811.0,13902.0,12827.0
TGT,2022,109120.0,81914.0,2780.0,53335.0,13499.0,11232.0
TGT,2023,107412.0,77350.0,4138.0,55356.0,11886.0,13432.0
TGT,2024,106566.0,76050.0,4091.0,57769.0,12740.0,14666.0
TGT,2025,104780.0,74994.0,3705.0,59490.0,12304.0,16165.0
WMT,2020,556933.0,409163.0,13510.0,252496.0,44949.0,87531.0
WMT,2021,569962.0,418342.0,13673.0,244860.0,56511.0,91891.0
WMT,2022,608481.0,452776.0,11680.0,243197.0,56576.0,83754.0
WMT,2023,645737.0,478289.0,15511.0,252399.0,54892.0,90349.0
WMT,2024,678338.0,498780.0,19436.0,260823.0,56435.0,97421.0
WMT,2025,710813.0,521112.0,21893.0,284668.0,58851.0,105887.0
